0,1,3,1 0 66.28959053762486
0,1,3,1 1 74.7928176047476
0,1,3,1 2 74.47802991339648
0,1,3,1 3 55.681191534355044
0,1,3,1 4 11.197651348834455
0,1,3,1 5 1.5040728115132111
0,1,3,1 6 43.03296743097704
0,1,3,1 7 80.04650487282404
0,1,3,1 8 100.79490654426706
0,1,3,0 0 67.84633035648397
0,1,3,0 1 -43.11986324151748
0,1,3,0 2 75.6146366398799
0,1,3,0 3 86.76998520319393
0,1,3,0 4 58.723669973025636
0,1,3,0 5 64.80523360195437
0,1,3,0 6 -59.50146323043266
0,1,3,0 7 94.9445759615991
0,1,3,0 8 108.0071704933751
2,0,0,1 0 -46.1609375
2,0,0,1 1 -28.28354687499993
2,0,0,1 2 94.71642960011769
2,0,0,1 3 42.955368966384505
2,0,0,1 4 -28.43738988973205
2,0,0,1 5 -52.0
2,0,0,1 6 -15.507301025390628
2,0,0,1 7 58.105032726122474
2,0,0,1 8 -8.268251164960567
2,0,0,0 0 -26.548266144219205
2,0,0,0 1 -50.269999999999996
2,0,0,0 2 0.0
2,0,0,0 3 0.0
2,0,0,0 4 0.0
2,0,0,0 5 0.0
2,0,0,0 6 0.0
2,0,0,0 7 76.05195601788
2,0,0,0 8 -44.52921976489864
2,0,2,1 0 48.25523824320729
2,0,2,1 1 55.194544421805986
2,0,2,1 2 73.38325551883995
2,0,2,1 3 67.37515545625601
2,0,2,1 4 15.464388139611827
2,0,2,1 5 -9.221991745166633
2,0,2,1 6 -1.2471186825776215
2,0,2,1 7 34.845316283472854
2,0,2,1 8 102.74564767058035
2,0,2,0 0 -33.0
2,0,2,0 1 0.0
2,0,2,0 2 0.0
2,0,2,0 3 0.0
2,0,2,0 4 0.0
2,0,2,0 5 0.0
2,0,2,0 6 71.96356867454645
2,0,2,0 7 21.561276935473025
2,0,2,0 8 119.57452375265561
2,2,0,1 0 72.46334720127793
2,2,0,1 1 0.0
2,2,0,1 2 47.959672947371104
2,2,0,1 3 139.404867400865
2,2,0,1 4 -37.5
2,2,0,1 5 0.0
2,2,0,1 6 6.86792998615141
2,2,0,1 7 -20.0
2,2,0,1 8 180.3602168848968
2,2,0,0 0 -22.509286356548557
2,2,0,0 1 -20.3418862504142
2,2,0,0 2 -46.88759232317629
2,2,0,0 3 116.85235365929887
2,2,0,0 4 -23.017431993538246
2,2,0,0 5 -7.82040834393014
2,2,0,0 6 -47.95045213123308
2,2,0,0 7 24.62185147148641
2,2,0,0 8 -31.997000123766902
0,1,2,1 0 38.91110653284257
0,1,2,1 1 4.179995403838674
0,1,2,1 2 36.337757864080416
0,1,2,1 3 -12.673393323496235
0,1,2,1 4 62.168811253059445
0,1,2,1 5 4.392067286541533
0,1,2,1 6 11.095039186828004
0,1,2,1 7 64.94867845857704
0,1,2,1 8 68.01346907224799
0,0,1,0 0 -27.783364094128412
0,0,1,0 1 105.83739793954392
0,0,1,0 2 26.181971111348567
0,0,1,0 3 34.4
0,0,1,0 4 0.0
0,0,1,0 5 0.0
0,0,1,0 6 35.9375
0,0,1,0 7 30.0
0,0,1,0 8 108.84602782629145
0,0,1,1 0 38.2738730262125
0,0,1,1 1 35.39437809276241
0,0,1,1 2 66.79870588559754
0,0,1,1 3 43.04544326524277
0,0,1,1 4 55.80234510071212
0,0,1,1 5 17.530526367686377
0,0,1,1 6 35.668164160165546
0,0,1,1 7 58.181992507360555
0,0,1,1 8 62.80610836474232
1,1,0,1 0 -59.68903973145349
1,1,0,1 1 -9.411524076254182
1,1,0,1 2 -16.11168465462501
1,1,0,1 3 -4.773703658427067
1,1,0,1 4 -0.8807379208507946
1,1,0,1 5 -30.176280061823178
1,1,0,1 6 -1.4801235117750764
1,1,0,1 7 58.19932047948901
1,1,0,1 8 122.33253009098202
1,0,2,1 0 31.511808234741558
1,0,2,1 1 47.469789547524385
1,0,2,1 2 49.36517769448215
1,0,2,1 3 -5.126917923032096
1,0,2,1 4 -13.39191729300758
